coin,datetime,price,volume
avalanche-2,2025-12-04 00:00:00,14.829307941182316,634245660.2069833
avalanche-2,2025-12-05 00:00:00,14.399151863434595,413243876.6474426
avalanche-2,2025-12-05 21:16:00,13.355833672994203,412631356.8091557
shiba-inu,2024-12-06 00:00:00,3.0622896536274784e-05,5005452378.460151
shiba-inu,2024-12-07 00:00:00,3.0848835521496716e-05,1837398800.5944355
shiba-inu,2024-12-08 00:00:00,3.206291000937854e-05,2419815881.328114
shiba-inu,2024-12-09 00:00:00,3.2253125342434515e-05,2077937741.435265
shiba-inu,2024-12-10 00:00:00,2.7408966143168943e-05,3341903590.929778
shiba-inu,2024-12-11 00:00:00,2.7155903334865192e-05,3040610164.802587
shiba-inu,2024-12-12 00:00:00,2.8790349859485374e-05,2011455100.6576715
shiba-inu,2024-12-13 00:00:00,2.8131687514448915e-05,1527805312.178744
shiba-inu,2024-12-14 00:00:00,2.8453217183330948e-05,975132370.8351926
shiba-inu,2024-12-15 00:00:00,2.745259754577616e-05,912153652.3000273
shiba-inu,2024-12-16 00:00:00,2.7943864222898106e-05,656454804.0203631
shiba-inu,2024-12-17 00:00:00,2.724954947915019e-05,979598294.0760771
